brake,vblend,selftest,terminal,e_land,e_op,e_th,e_fuel,a_land,a_op,a_th,a_fuel,score
1.05,3,PASS,194,85,4,9,0,224,39,30,2,159.7
1.05,6,PASS,194,84,4,9,1,225,41,29,3,159
1.05,10,PASS,194,84,4,9,1,217,45,28,3,156.3
1.2,3,PASS,194,86,6,7,1,232,36,26,1,163.3
1.2,10,PASS,194,85,6,8,1,228,38,29,0,161
1.35,3,PASS,194,86,6,6,2,226,40,29,2,161.3
1.35,6,PASS,194,85,6,8,1,232,35,28,1,162.3
1.35,10,PASS,194,85,6,8,1,230,34,29,1,161.7
1.5,3,PASS,194,88,5,5,2,220,47,30,1,161.3
1.5,6,PASS,194,87,6,6,1,229,37,31,0,163.3
1.5,10,PASS,194,85,6,8,1,231,34,30,1,162
DONE
